"BIN","AT_CG_AAA(TTT)","AT_CG_AAC(GTT)","AT_CG_AAG(CTT)","AT_CG_AAT(ATT)","AT_CG_CAA(TTG)","AT_CG_CAC(GTG)","AT_CG_CAG(CTG)","AT_CG_CAT(ATG)","AT_CG_GAA(TTC)","AT_CG_GAC(GTC)","AT_CG_GAG(CTC)","AT_CG_GAT(ATC)","AT_CG_TAA(TTA)","AT_CG_TAC(GTA)","AT_CG_TAG(CTA)","AT_CG_TAT(ATA)","AT_GC_AAA(TTT)","AT_GC_AAC(GTT)","AT_GC_AAG(CTT)","AT_GC_AAT(ATT)","AT_GC_CAA(TTG)","AT_GC_CAC(GTG)","AT_GC_CAG(CTG)","AT_GC_CAT(ATG)","AT_GC_GAA(TTC)","AT_GC_GAC(GTC)","AT_GC_GAG(CTC)","AT_GC_GAT(ATC)","AT_GC_TAA(TTA)","AT_GC_TAC(GTA)","AT_GC_TAG(CTA)","AT_GC_TAT(ATA)","AT_TA_AAA(TTT)","AT_TA_AAC(GTT)","AT_TA_AAG(CTT)","AT_TA_AAT(ATT)","AT_TA_CAA(TTG)","AT_TA_CAC(GTG)","AT_TA_CAG(CTG)","AT_TA_CAT(ATG)","AT_TA_GAA(TTC)","AT_TA_GAC(GTC)","AT_TA_GAG(CTC)","AT_TA_GAT(ATC)","AT_TA_TAA(TTA)","AT_TA_TAC(GTA)","AT_TA_TAG(CTA)","AT_TA_TAT(ATA)","GC_AT_ACA(TGT)","GC_AT_ACC(GGT)","GC_AT_ACG(CGT)","GC_AT_ACT(AGT)","GC_AT_CCA(TGG)","GC_AT_CCC(GGG)","GC_AT_CCG(CGG)","GC_AT_CCT(AGG)","GC_AT_GCA(TGC)","GC_AT_GCC(GGC)","GC_AT_GCG(CGC)","GC_AT_GCT(AGC)","GC_AT_TCA(TGA)","GC_AT_TCC(GGA)","GC_AT_TCG(CGA)","GC_AT_TCT(AGA)","GC_CG_ACA(TGT)","GC_CG_ACC(GGT)","GC_CG_ACG(CGT)","GC_CG_ACT(AGT)","GC_CG_CCA(TGG)","GC_CG_CCC(GGG)","GC_CG_CCG(CGG)","GC_CG_CCT(AGG)","GC_CG_GCA(TGC)","GC_CG_GCC(GGC)","GC_CG_GCG(CGC)","GC_CG_GCT(AGC)","GC_CG_TCA(TGA)","GC_CG_TCC(GGA)","GC_CG_TCG(CGA)","GC_CG_TCT(AGA)","GC_TA_ACA(TGT)","GC_TA_ACC(GGT)","GC_TA_ACG(CGT)","GC_TA_ACT(AGT)","GC_TA_CCA(TGG)","GC_TA_CCC(GGG)","GC_TA_CCG(CGG)","GC_TA_CCT(AGG)","GC_TA_GCA(TGC)","GC_TA_GCC(GGC)","GC_TA_GCG(CGC)","GC_TA_GCT(AGC)","GC_TA_TCA(TGA)","GC_TA_TCC(GGA)","GC_TA_TCG(CGA)","GC_TA_TCT(AGA)"
575,7,0,7,3,3,3,2,2,4,3,3,2,2,0,1,0,16,3,7,20,4,8,9,14,7,8,11,8,10,3,9,20,2,0,0,2,0,5,2,5,2,1,2,2,6,2,2,3,16,14,33,17,16,19,40,23,7,14,34,13,17,17,29,16,3,1,5,3,5,6,5,4,3,6,3,5,2,5,5,13,5,8,0,2,7,11,3,2,6,6,2,5,2,6,2,5
576,3,5,2,2,7,4,5,3,4,1,3,1,5,0,2,1,14,8,12,14,7,7,8,18,7,2,11,9,11,6,3,13,2,1,2,0,1,3,1,2,0,2,3,1,5,0,1,3,25,13,42,14,14,17,63,10,17,16,51,8,11,12,26,13,3,7,2,0,5,11,5,2,0,2,2,7,6,6,2,9,4,11,1,2,7,3,6,2,1,2,4,2,1,3,2,5
577,9,3,3,2,0,3,4,3,4,1,2,0,3,1,1,2,11,11,10,25,10,12,11,31,4,3,5,7,7,7,7,23,3,1,3,4,2,2,3,12,4,2,1,3,5,1,1,1,18,16,36,21,11,13,30,16,13,9,22,13,13,18,27,8,6,0,1,5,2,10,2,3,3,6,1,4,7,8,1,8,7,7,3,3,5,4,0,4,6,4,0,1,1,5,1,6
578,6,2,0,2,2,3,0,1,3,0,1,1,2,1,2,3,11,13,3,16,5,8,9,26,7,4,9,6,9,8,4,16,1,2,1,1,1,0,5,5,1,2,1,5,2,0,1,2,23,10,69,10,12,12,54,27,18,13,43,12,18,13,23,15,5,3,2,3,2,5,1,4,0,3,0,1,3,2,1,11,2,9,2,6,7,1,2,3,5,10,4,5,4,6,0,7
579,2,1,1,2,2,4,1,3,5,2,5,0,5,0,0,0,17,7,16,23,10,9,10,30,7,7,7,6,6,8,5,14,2,2,0,2,2,5,3,5,1,1,1,2,0,2,2,2,23,20,44,13,17,22,40,14,19,10,29,14,8,18,30,17,2,3,2,4,4,7,3,4,5,2,2,4,0,6,2,8,4,12,1,1,4,4,1,3,4,6,2,4,5,7,1,4
580,4,1,2,7,3,2,6,5,1,0,3,0,3,1,1,2,6,8,4,19,8,11,10,15,7,5,2,11,4,6,4,5,1,1,0,3,2,5,3,6,1,1,3,7,2,0,1,0,20,20,45,8,19,16,36,24,18,17,35,18,13,11,35,16,3,3,0,4,2,5,3,4,3,7,3,3,4,6,0,8,4,9,1,1,3,3,1,1,5,8,1,7,2,6,2,7
581,6,3,1,2,5,7,6,2,4,0,1,1,3,2,0,3,5,7,12,15,2,7,11,14,4,5,7,9,8,2,5,16,3,2,1,2,0,1,2,2,4,1,3,2,1,2,2,2,22,12,48,7,15,17,55,23,13,14,42,17,17,11,39,19,3,2,2,3,2,7,2,7,1,3,0,6,7,5,2,7,10,6,1,1,4,11,2,1,2,11,2,4,3,5,0,5
582,6,2,3,2,3,1,4,1,0,1,4,2,0,0,1,2,9,7,5,19,5,14,11,26,6,4,8,4,3,5,8,20,4,2,6,4,1,3,6,3,3,3,1,5,1,0,1,0,15,13,54,11,20,21,61,21,17,15,35,14,15,15,34,14,4,2,0,3,8,9,3,9,3,7,0,1,3,5,0,12,6,9,0,8,2,5,1,3,4,11,1,4,1,6,0,12
583,7,2,4,4,3,3,4,9,1,0,2,1,1,1,1,1,13,6,5,18,4,8,11,21,7,7,8,5,12,5,3,17,2,1,0,2,0,3,3,6,3,4,1,7,2,2,2,6,15,24,51,21,17,19,40,20,13,22,27,9,17,17,28,10,8,5,0,5,3,9,0,4,2,3,0,0,8,7,1,8,2,11,1,2,5,8,3,4,9,6,0,5,1,5,1,8
584,4,3,2,2,4,1,4,3,1,2,1,0,0,0,1,0,11,5,9,16,9,9,9,23,6,11,10,7,2,8,5,16,1,1,1,1,0,3,4,4,1,4,3,3,3,2,2,2,20,19,66,14,26,12,59,17,28,24,51,15,11,17,18,7,8,1,3,11,2,5,2,8,3,7,1,5,3,8,1,6,7,9,2,6,5,9,1,4,6,13,3,2,9,12,1,4
585,7,1,6,4,7,3,3,3,2,0,2,1,9,1,2,5,20,7,11,31,13,6,13,19,6,4,10,13,18,10,4,58,3,3,5,3,1,1,3,10,2,1,1,4,9,2,0,8,21,8,35,24,14,9,21,15,11,7,19,15,27,9,10,18,6,1,1,6,2,4,0,0,1,1,1,4,9,4,2,4,16,12,0,2,1,1,0,1,3,6,0,3,5,2,1,7
586,5,2,5,6,2,1,2,1,5,2,2,2,0,1,1,2,15,7,12,18,7,9,13,27,6,3,5,6,6,8,10,24,5,0,1,8,2,5,2,12,0,2,3,5,3,1,3,3,26,16,31,20,10,13,37,10,12,18,24,19,13,16,24,25,2,2,1,4,8,2,0,5,5,4,1,4,2,6,0,9,5,6,1,3,6,3,0,4,7,4,3,5,2,12,1,3
587,6,2,4,1,5,5,4,5,2,0,3,4,1,2,0,2,12,9,8,21,5,11,11,19,5,3,9,8,12,5,8,29,0,2,2,4,2,2,2,3,0,2,3,4,2,0,0,4,29,20,66,17,16,21,39,28,19,16,34,19,17,15,36,9,5,2,2,3,6,4,1,3,5,5,2,4,6,2,2,8,4,11,5,5,5,8,0,2,4,5,3,0,3,0,1,3
588,7,2,1,5,7,7,5,8,3,0,2,1,1,1,5,3,6,5,13,27,9,14,7,14,11,5,5,4,18,7,7,32,5,2,3,2,1,4,4,4,3,2,0,5,6,1,1,3,27,15,42,18,24,14,31,23,13,21,33,11,15,13,33,12,6,2,2,7,5,3,0,4,2,4,0,5,3,8,1,7,5,7,1,1,4,2,1,2,3,5,1,4,5,4,3,5
589,3,2,0,2,7,6,5,3,1,3,2,1,2,2,1,2,12,13,5,26,4,9,17,22,3,2,6,11,12,8,8,31,6,4,0,4,2,2,1,8,3,2,2,6,1,0,2,6,27,14,44,6,11,21,44,22,11,11,42,17,28,12,27,16,5,2,1,1,6,3,0,11,2,3,1,4,7,9,1,12,7,12,1,5,3,8,0,6,3,4,2,8,5,7,1,4
590,8,1,2,5,2,3,3,7,1,0,2,3,2,2,0,4,10,8,14,18,7,9,18,12,5,4,8,14,6,6,8,34,2,1,1,2,0,3,4,6,1,3,2,2,3,3,0,6,22,21,44,15,15,20,30,19,14,16,31,13,19,19,22,21,8,5,2,3,3,8,2,3,6,4,1,7,7,7,0,5,5,5,0,4,11,7,1,5,12,8,3,8,4,5,3,11
591,9,0,2,2,3,5,1,4,2,1,2,1,5,2,4,2,11,11,13,29,6,5,15,23,8,7,10,9,7,9,6,25,6,1,4,5,2,2,3,7,1,2,2,3,3,3,1,1,28,20,47,17,15,14,42,19,14,16,31,7,8,11,23,18,3,6,3,5,4,2,2,2,5,4,1,2,4,3,1,8,10,13,3,5,8,5,2,7,10,6,4,4,3,8,2,9
592,11,2,1,4,3,1,3,4,3,2,2,2,5,2,0,7,17,10,9,32,6,7,15,32,7,13,2,9,21,3,4,22,4,1,1,5,3,2,2,4,3,6,3,1,4,2,2,4,28,11,42,12,19,19,31,20,16,15,24,8,14,15,10,14,7,3,3,4,2,3,1,3,0,7,0,5,5,3,1,5,9,10,2,4,5,6,2,3,7,9,4,5,3,6,2,8
593,9,4,3,5,5,7,2,6,2,0,2,1,0,0,0,3,8,10,12,30,5,9,12,34,4,6,7,11,9,8,12,26,5,1,2,5,4,3,2,9,3,2,6,1,3,1,1,7,21,23,46,14,5,14,39,17,15,15,35,10,17,14,27,17,4,1,0,6,2,2,2,4,4,4,3,4,8,7,1,10,10,10,1,11,2,7,1,5,10,7,4,2,6,5,3,11
594,7,1,3,3,4,7,3,4,1,0,0,1,1,1,3,2,18,13,8,23,6,10,9,20,7,8,6,8,14,8,4,22,3,3,0,4,3,6,2,2,2,1,1,4,7,3,1,3,28,18,61,18,10,15,33,20,14,15,26,13,17,19,25,15,5,4,4,6,3,5,2,4,5,2,3,5,6,4,2,6,7,6,7,5,7,11,2,5,7,9,2,4,4,8,1,8
595,6,2,8,7,0,5,5,13,7,3,0,4,5,1,0,3,8,8,13,21,6,16,11,37,6,4,10,17,5,8,6,18,4,4,3,4,3,3,7,9,3,2,1,6,3,2,2,4,27,20,35,17,22,9,37,21,16,16,25,19,12,23,30,13,8,3,4,7,3,8,2,2,5,0,2,3,5,2,2,13,6,10,6,7,7,7,1,7,11,12,1,6,5,9,2,11
596,4,4,3,1,7,3,1,6,2,1,4,0,5,1,0,2,7,13,13,16,9,8,10,33,9,13,8,12,11,12,4,28,5,4,5,4,1,4,3,5,1,7,4,8,5,3,3,1,24,19,71,11,21,16,43,20,16,13,41,21,20,27,35,18,4,4,2,11,3,4,3,2,2,3,2,2,7,6,2,9,11,9,5,3,5,8,6,4,5,10,4,4,5,6,4,7
597,3,1,1,0,2,5,1,1,4,1,0,1,2,0,1,1,5,8,11,12,6,10,11,19,12,6,5,15,4,6,7,16,4,2,2,4,2,5,7,13,2,3,4,9,3,0,0,3,27,19,57,18,30,24,50,23,17,16,30,17,14,20,35,24,5,2,0,6,4,7,1,4,5,4,0,5,4,10,1,13,4,7,3,5,6,9,3,8,5,5,3,7,10,12,2,4
598,5,6,0,1,4,3,7,10,0,0,4,2,1,3,0,3,11,12,18,18,4,10,19,22,8,6,4,8,12,9,6,18,3,0,2,3,2,1,2,4,1,2,0,12,6,1,1,0,29,12,63,16,18,15,41,20,13,13,39,14,17,14,36,10,4,6,1,4,2,4,1,5,5,7,3,5,5,9,1,7,4,8,1,5,5,5,2,8,8,5,10,2,2,10,2,6
599,2,3,2,1,3,2,5,4,2,0,2,1,1,1,0,0,9,9,9,14,6,15,14,20,3,7,12,5,7,4,6,14,1,1,1,0,2,1,3,7,3,2,3,2,5,2,2,3,31,9,53,13,12,19,58,22,18,28,57,21,9,23,20,17,7,2,3,3,6,7,4,5,4,7,0,3,4,4,5,14,6,5,4,5,4,10,1,6,6,9,2,5,4,6,3,7
600,2,3,3,3,2,1,3,12,1,0,4,3,2,1,3,4,11,4,11,16,7,9,11,20,5,4,8,7,7,5,8,23,2,1,3,2,1,2,2,7,3,3,2,5,2,1,2,5,25,21,65,9,20,19,76,26,19,15,42,13,11,18,36,11,4,3,3,4,3,6,0,8,4,3,1,4,9,8,4,8,4,8,1,2,2,6,1,6,3,8,1,2,1,8,0,7
601,6,3,3,3,3,3,1,3,2,1,2,0,2,3,2,0,15,9,8,11,12,9,13,23,6,5,1,4,8,10,9,21,3,2,1,3,2,5,2,6,3,2,0,5,2,2,1,2,16,16,62,12,17,12,58,11,12,19,44,10,13,20,34,14,5,4,4,4,4,5,1,2,3,5,2,3,2,4,2,11,2,10,4,3,5,5,1,6,12,9,4,7,0,4,2,8
602,5,0,3,0,0,6,3,2,1,1,1,0,2,1,1,0,8,11,5,14,4,7,14,18,6,4,8,7,6,0,4,17,1,0,1,3,0,4,2,9,1,3,3,3,5,1,1,2,24,19,64,12,19,29,86,17,8,13,64,12,17,19,44,12,6,3,3,6,3,11,2,4,2,4,0,1,4,8,2,8,11,13,0,2,7,8,1,5,10,10,3,2,4,2,3,2
603,1,0,3,5,2,2,7,11,1,1,3,1,1,1,1,2,5,2,7,10,2,12,21,26,11,9,11,9,9,4,6,15,2,2,2,2,0,1,4,3,4,1,1,5,1,3,1,2,20,24,68,11,24,32,79,24,21,19,67,13,10,19,45,14,4,3,6,3,6,9,3,2,7,7,1,3,2,7,2,8,4,7,2,0,4,7,3,6,6,9,3,7,4,2,4,5
604,2,1,1,0,3,7,1,2,4,1,2,0,0,0,0,1,4,8,5,16,4,8,24,24,6,6,9,11,1,4,3,13,2,1,0,5,0,2,3,3,0,4,1,3,3,1,1,2,19,16,77,19,34,27,83,17,20,16,71,15,17,12,38,12,6,9,3,3,4,4,5,8,6,4,0,6,3,9,2,11,5,6,6,5,7,7,3,2,12,7,7,3,4,5,1,4
605,1,2,2,1,6,3,3,5,2,2,2,0,1,0,1,1,5,7,7,13,6,8,18,12,2,3,8,5,5,6,5,13,3,1,3,0,1,3,1,2,3,4,1,3,1,1,1,1,21,16,79,6,19,39,109,19,21,32,80,10,11,10,39,12,8,7,3,3,4,4,3,5,2,6,1,7,3,5,2,8,6,9,2,3,6,3,2,1,4,10,2,6,3,3,3,1
606,8,0,2,2,4,3,1,6,4,2,2,2,0,1,1,1,12,5,11,5,2,16,15,17,5,1,8,7,6,2,6,11,3,1,0,0,2,2,2,0,0,3,3,4,1,1,0,4,24,12,74,9,13,16,93,11,9,15,83,6,11,18,40,7,6,2,3,4,4,5,0,5,4,4,1,2,1,10,2,6,3,4,5,2,3,8,2,3,3,11,2,1,2,5,5,4
607,2,2,1,3,4,6,4,4,4,2,4,2,3,2,2,5,15,4,7,9,11,9,17,29,6,5,5,5,5,9,9,17,3,0,1,5,2,2,5,5,0,5,3,7,3,0,0,3,12,22,60,11,26,27,69,20,16,18,55,22,13,17,35,20,5,3,2,9,5,2,6,9,3,3,0,5,6,6,1,9,4,9,4,2,4,8,3,2,5,5,8,7,4,5,1,6
608,3,1,1,2,2,5,3,3,6,2,5,0,3,1,1,1,3,4,7,13,9,8,13,19,9,1,7,5,5,3,2,12,3,2,0,1,1,4,1,0,0,1,1,3,4,1,1,1,18,22,77,14,14,28,88,17,23,24,82,11,14,23,43,11,4,6,2,7,2,9,4,10,4,7,3,6,3,3,3,13,2,6,2,0,6,5,4,5,3,5,4,4,1,5,1,0
609,3,4,2,1,3,6,2,4,2,2,1,4,2,2,0,1,5,5,10,8,9,14,9,18,3,4,11,8,6,3,7,10,0,0,2,3,2,4,2,2,1,3,6,2,1,1,0,0,18,13,66,16,21,20,105,25,12,21,70,10,13,16,52,18,7,5,1,4,5,7,2,4,3,5,5,5,3,9,1,8,3,7,2,3,3,11,4,2,1,3,9,0,6,6,2,2
610,2,0,4,0,1,6,3,4,1,1,5,1,1,0,1,2,5,4,4,5,5,9,16,9,3,5,8,3,3,1,2,8,1,1,2,1,1,2,0,2,0,0,2,1,1,2,1,1,10,19,69,13,28,30,133,22,10,32,91,13,9,16,43,7,1,5,4,6,8,12,10,5,4,7,2,5,1,3,5,5,2,10,2,1,4,10,6,3,2,11,3,2,1,9,0,2
611,3,0,0,1,1,4,4,4,2,3,1,0,0,1,1,0,6,5,4,3,5,7,14,6,3,8,9,2,2,2,0,2,1,0,2,1,1,1,2,1,1,2,2,1,2,0,0,1,5,14,64,7,9,30,107,17,20,33,61,18,4,14,39,11,2,7,1,4,3,14,4,11,4,5,3,4,1,4,0,4,2,4,1,4,5,7,7,7,11,8,5,1,1,3,1,1
612,3,0,1,0,1,1,1,1,0,1,4,0,0,0,0,0,4,4,5,7,1,3,9,8,0,4,2,3,1,1,0,7,0,1,1,0,0,1,0,2,0,2,0,1,1,0,0,0,12,10,48,5,10,15,65,7,6,11,47,5,5,6,15,8,0,0,3,2,2,6,3,2,2,1,2,2,1,5,2,6,4,2,2,0,5,6,0,1,2,6,1,2,0,2,2,1
613,0,1,1,0,1,0,2,2,1,1,1,1,0,0,0,0,3,2,5,4,2,5,8,6,1,1,5,3,0,2,1,2,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,5,8,37,4,13,12,45,14,7,8,22,16,5,5,17,4,1,5,1,0,1,5,2,5,1,5,1,2,2,7,3,3,1,3,3,0,1,4,6,2,4,6,4,2,0,4,0,0
614,3,3,3,2,2,2,4,1,2,0,1,1,0,1,0,1,4,8,5,6,3,11,14,10,5,6,6,4,1,3,2,12,0,0,1,1,2,3,3,4,0,0,2,1,2,0,0,1,17,19,75,8,22,25,102,17,7,21,57,15,11,15,44,19,5,4,2,3,1,10,4,7,5,8,1,4,3,3,3,7,5,4,0,2,4,11,4,4,6,7,6,0,1,6,1,4
615,3,1,2,0,1,3,5,4,0,3,3,2,0,1,0,0,8,7,5,10,9,10,21,12,0,5,3,4,5,5,9,15,2,1,0,1,2,1,4,2,1,2,6,3,1,1,2,2,13,21,68,13,28,31,97,19,16,25,72,12,24,14,37,19,3,7,6,5,4,4,5,6,3,3,3,5,6,5,4,5,1,11,0,2,4,3,3,3,3,6,5,3,5,8,4,3
616,10,0,4,4,3,9,2,4,0,1,3,3,3,0,4,2,14,7,9,11,7,13,16,28,4,8,5,7,11,7,7,12,0,0,3,2,2,4,1,2,2,2,2,2,3,0,1,1,15,12,58,16,14,27,76,20,13,21,54,12,3,19,31,16,8,4,2,9,4,6,7,7,7,2,7,5,8,10,4,12,8,7,1,6,5,11,1,4,6,10,2,2,3,2,3,3
617,1,1,1,1,2,4,5,1,3,1,3,2,4,0,0,1,4,5,2,10,3,8,13,14,1,9,9,9,2,5,3,7,0,2,1,5,1,2,3,4,2,0,2,5,2,1,0,3,19,18,69,12,11,32,94,10,9,17,60,13,14,17,50,9,4,5,3,3,6,11,5,5,2,8,2,6,2,5,5,11,3,5,1,3,3,13,2,3,7,11,10,4,4,5,2,2
618,3,1,3,1,0,1,4,4,5,1,1,1,3,2,1,2,4,4,7,13,4,10,17,14,4,4,10,8,7,5,4,11,0,1,0,0,0,0,2,3,3,0,1,3,3,3,0,2,16,14,80,14,12,29,95,25,14,18,61,12,10,20,39,15,2,0,4,0,7,9,11,3,3,6,1,5,1,5,2,5,8,11,4,3,7,8,4,3,4,6,1,1,5,4,2,4
619,4,1,3,1,2,8,7,7,4,2,4,2,1,0,2,0,9,7,5,11,4,13,13,16,7,3,10,7,4,1,0,3,1,1,2,3,1,2,5,3,1,1,3,2,2,1,1,2,21,12,57,15,19,33,84,19,17,19,67,19,13,19,34,14,10,4,2,3,2,9,3,10,5,9,1,2,7,2,2,9,2,10,3,2,4,6,8,4,6,7,7,2,2,6,1,3
620,3,0,5,0,5,7,5,2,2,3,3,0,1,2,0,1,5,2,5,12,5,9,18,12,4,4,11,7,7,3,1,4,1,1,1,1,0,1,4,3,1,3,1,2,2,0,0,4,12,29,78,7,27,32,132,26,11,25,85,14,10,18,50,12,3,4,2,1,4,4,7,6,2,6,1,4,1,8,3,16,5,5,2,3,9,12,6,3,9,7,4,5,3,8,2,2
621,3,1,1,1,2,5,3,1,2,2,3,1,1,0,0,0,7,6,9,6,1,12,15,7,4,9,9,5,3,5,4,11,0,2,2,0,1,3,4,2,0,2,3,1,0,0,0,0,11,13,101,8,17,33,115,27,15,27,76,20,14,28,45,8,4,6,3,1,4,14,3,9,4,5,3,2,4,5,3,2,2,14,1,1,4,9,5,3,4,5,10,2,1,3,3,2
622,4,0,4,0,3,7,5,3,0,1,4,0,3,1,0,0,6,5,5,5,9,1,10,13,7,11,5,2,6,2,5,6,1,1,1,0,0,5,1,2,2,3,2,0,0,0,0,0,14,21,68,11,29,29,131,19,14,24,89,9,8,23,50,8,4,5,3,3,7,8,7,7,2,1,6,5,5,5,6,4,7,7,5,1,6,11,3,3,9,9,12,4,1,4,3,3
623,6,5,1,0,2,4,4,6,2,3,2,2,0,3,0,3,6,8,4,6,11,9,14,12,5,2,11,4,2,3,3,13,2,0,1,1,0,6,4,1,1,2,2,3,1,2,1,0,20,17,50,14,14,27,78,21,12,26,53,13,14,21,47,13,6,4,2,3,5,6,8,8,2,6,3,6,5,6,0,3,4,4,2,4,5,5,6,3,4,4,3,3,1,5,2,3
624,7,1,1,1,2,1,5,0,3,1,4,2,1,0,2,1,12,7,10,10,7,19,26,18,5,6,6,10,4,4,6,11,3,1,3,5,0,6,4,0,1,3,6,1,1,1,2,2,21,17,63,15,20,29,127,38,23,31,63,23,15,25,35,19,7,5,3,4,7,8,5,10,3,5,2,10,6,5,3,10,5,8,2,7,6,11,6,4,8,6,6,2,4,5,1,4
625,8,1,2,0,5,7,3,1,1,0,5,3,1,1,0,0,7,7,9,9,6,10,15,13,5,5,4,2,5,5,6,9,3,0,4,2,2,1,5,5,1,3,5,1,5,1,1,4,17,14,51,10,17,25,97,20,17,24,61,16,15,23,54,17,3,6,4,3,2,7,3,6,1,5,1,7,2,7,6,2,2,8,3,4,2,6,6,6,2,12,5,2,4,4,1,1
626,4,3,3,1,6,5,5,1,1,2,2,1,3,0,1,1,12,3,3,3,4,8,18,13,8,3,5,7,7,4,6,8,4,2,2,3,1,3,3,7,0,3,1,4,2,2,0,1,20,22,78,12,19,37,98,25,16,26,77,16,14,22,37,15,5,6,5,1,4,6,4,8,2,3,2,6,2,4,4,3,7,4,3,4,3,9,6,2,2,8,3,5,4,5,2,1
627,7,3,3,1,2,4,10,6,2,1,1,0,0,0,1,1,6,6,4,16,6,9,11,12,5,1,11,7,2,6,5,7,0,0,3,3,2,2,4,3,0,2,1,2,1,1,1,1,16,14,48,8,17,28,75,20,7,23,61,15,9,15,45,12,3,4,3,2,5,10,5,11,7,5,4,3,1,4,0,8,5,3,3,2,4,10,5,2,3,6,4,7,3,6,1,6
628,3,3,1,0,3,5,1,3,1,3,4,0,1,1,0,2,3,6,4,6,2,16,13,19,2,2,5,6,4,5,6,6,1,0,1,3,0,1,1,3,1,2,2,4,6,0,0,1,23,16,60,7,16,32,62,23,17,18,41,13,9,17,21,12,11,4,1,3,5,6,2,7,2,4,1,5,6,7,4,9,5,12,2,1,5,11,1,1,2,9,5,2,0,5,0,3
629,4,2,0,3,3,6,5,2,6,1,2,0,2,2,2,0,6,5,7,13,4,10,11,15,1,3,6,5,7,3,5,8,0,4,1,1,0,1,2,3,0,3,4,1,4,0,2,3,25,21,71,13,13,29,70,18,17,25,50,7,17,13,31,14,8,2,7,5,4,7,2,7,6,2,3,1,4,8,4,6,7,3,5,3,5,5,2,4,4,8,4,2,4,2,1,3
630,3,3,1,2,4,1,0,0,0,1,1,2,2,0,0,2,5,2,2,11,1,2,8,7,0,2,1,4,1,5,2,7,2,0,0,1,0,3,0,3,1,1,0,2,0,0,1,1,6,9,19,3,7,5,22,8,4,6,10,2,7,2,9,4,1,1,2,1,0,1,0,4,0,2,1,0,2,1,0,4,5,4,0,2,3,9,1,2,1,2,2,1,0,1,1,2
631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
