"BIN","AT_CG_AAA(TTT)","AT_CG_AAC(GTT)","AT_CG_AAG(CTT)","AT_CG_AAT(ATT)","AT_CG_CAA(TTG)","AT_CG_CAC(GTG)","AT_CG_CAG(CTG)","AT_CG_CAT(ATG)","AT_CG_GAA(TTC)","AT_CG_GAC(GTC)","AT_CG_GAG(CTC)","AT_CG_GAT(ATC)","AT_CG_TAA(TTA)","AT_CG_TAC(GTA)","AT_CG_TAG(CTA)","AT_CG_TAT(ATA)","AT_GC_AAA(TTT)","AT_GC_AAC(GTT)","AT_GC_AAG(CTT)","AT_GC_AAT(ATT)","AT_GC_CAA(TTG)","AT_GC_CAC(GTG)","AT_GC_CAG(CTG)","AT_GC_CAT(ATG)","AT_GC_GAA(TTC)","AT_GC_GAC(GTC)","AT_GC_GAG(CTC)","AT_GC_GAT(ATC)","AT_GC_TAA(TTA)","AT_GC_TAC(GTA)","AT_GC_TAG(CTA)","AT_GC_TAT(ATA)","AT_TA_AAA(TTT)","AT_TA_AAC(GTT)","AT_TA_AAG(CTT)","AT_TA_AAT(ATT)","AT_TA_CAA(TTG)","AT_TA_CAC(GTG)","AT_TA_CAG(CTG)","AT_TA_CAT(ATG)","AT_TA_GAA(TTC)","AT_TA_GAC(GTC)","AT_TA_GAG(CTC)","AT_TA_GAT(ATC)","AT_TA_TAA(TTA)","AT_TA_TAC(GTA)","AT_TA_TAG(CTA)","AT_TA_TAT(ATA)","GC_AT_ACA(TGT)","GC_AT_ACC(GGT)","GC_AT_ACG(CGT)","GC_AT_ACT(AGT)","GC_AT_CCA(TGG)","GC_AT_CCC(GGG)","GC_AT_CCG(CGG)","GC_AT_CCT(AGG)","GC_AT_GCA(TGC)","GC_AT_GCC(GGC)","GC_AT_GCG(CGC)","GC_AT_GCT(AGC)","GC_AT_TCA(TGA)","GC_AT_TCC(GGA)","GC_AT_TCG(CGA)","GC_AT_TCT(AGA)","GC_CG_ACA(TGT)","GC_CG_ACC(GGT)","GC_CG_ACG(CGT)","GC_CG_ACT(AGT)","GC_CG_CCA(TGG)","GC_CG_CCC(GGG)","GC_CG_CCG(CGG)","GC_CG_CCT(AGG)","GC_CG_GCA(TGC)","GC_CG_GCC(GGC)","GC_CG_GCG(CGC)","GC_CG_GCT(AGC)","GC_CG_TCA(TGA)","GC_CG_TCC(GGA)","GC_CG_TCG(CGA)","GC_CG_TCT(AGA)","GC_TA_ACA(TGT)","GC_TA_ACC(GGT)","GC_TA_ACG(CGT)","GC_TA_ACT(AGT)","GC_TA_CCA(TGG)","GC_TA_CCC(GGG)","GC_TA_CCG(CGG)","GC_TA_CCT(AGG)","GC_TA_GCA(TGC)","GC_TA_GCC(GGC)","GC_TA_GCG(CGC)","GC_TA_GCT(AGC)","GC_TA_TCA(TGA)","GC_TA_TCC(GGA)","GC_TA_TCG(CGA)","GC_TA_TCT(AGA)"
545,12,3,4,5,3,2,1,8,2,1,2,2,3,0,0,1,13,6,15,32,6,8,11,33,8,6,5,8,8,8,4,44,7,5,1,6,6,6,1,5,1,2,0,6,4,2,4,4,23,12,41,22,21,13,23,17,14,12,17,11,17,15,17,8,2,4,1,6,2,2,0,6,1,5,0,4,7,2,0,9,11,11,2,5,5,4,1,2,2,1,0,1,8,2,1,5
546,7,2,2,3,5,5,3,4,2,1,3,2,2,3,0,1,16,19,8,24,8,7,10,27,11,4,6,17,11,10,13,34,5,2,7,4,1,4,3,7,2,0,1,6,3,1,1,6,24,13,19,21,15,18,24,20,17,13,17,19,13,14,27,16,7,7,3,6,6,2,0,6,4,6,0,1,5,5,2,11,8,11,1,3,8,11,4,3,15,7,2,4,8,3,5,11
547,11,1,4,6,1,2,2,2,4,0,1,3,2,1,0,1,19,18,10,28,9,4,15,22,9,6,5,9,14,8,8,38,6,4,4,8,6,3,2,8,1,3,4,6,6,3,4,5,29,12,26,23,12,8,32,16,13,6,13,13,10,19,22,20,9,5,6,6,1,2,0,3,1,1,0,2,2,6,1,8,9,7,2,6,3,6,0,1,9,9,2,3,7,6,1,13
548,7,3,3,2,7,1,5,2,3,3,1,3,0,1,1,6,8,11,11,30,6,6,14,22,7,6,10,7,9,7,8,22,3,2,4,3,4,3,4,6,3,1,2,1,2,1,1,2,21,18,40,17,20,19,26,21,12,12,24,9,14,18,17,14,3,5,0,5,4,4,1,0,2,3,1,4,5,3,2,9,5,11,1,6,8,4,3,4,4,9,1,7,7,2,1,10
549,7,0,5,5,4,7,2,7,0,1,2,3,3,4,1,1,13,9,5,18,5,9,9,23,9,9,11,10,6,7,7,23,4,1,2,2,1,5,6,2,1,1,4,7,6,5,2,4,26,13,33,21,17,19,27,15,15,12,20,19,13,15,33,15,4,5,4,7,3,6,1,5,2,7,1,2,3,5,0,9,12,8,1,3,9,11,1,8,5,9,2,4,6,6,0,5
550,2,3,4,2,5,1,6,4,3,3,4,1,4,2,1,2,22,12,15,22,10,6,8,16,11,2,5,9,9,8,9,21,2,2,0,2,3,1,3,2,4,2,3,6,6,2,2,3,25,13,41,12,11,8,37,10,10,21,40,21,12,14,38,12,5,4,4,8,0,6,4,9,2,4,2,1,2,3,1,11,6,6,1,5,6,4,0,3,5,7,2,7,5,5,2,2
551,8,1,1,6,3,0,3,4,2,0,7,3,0,2,0,2,10,11,6,20,3,10,10,20,12,2,10,6,15,3,9,23,2,3,2,2,3,5,2,3,0,2,1,5,4,1,3,2,19,13,41,15,22,15,43,18,12,13,41,13,18,19,26,7,6,1,0,1,2,4,3,9,6,3,2,5,8,6,4,17,2,8,4,3,1,4,1,1,8,1,4,2,7,9,3,8
552,3,2,1,1,6,4,3,3,0,1,2,3,0,3,1,2,9,9,6,12,3,6,14,17,2,6,8,7,8,6,5,14,3,0,0,4,0,3,6,3,1,0,1,7,4,1,0,4,21,21,44,17,21,16,84,15,18,17,48,14,14,17,38,10,8,2,1,3,4,2,3,7,1,3,1,1,6,6,3,5,9,9,3,0,3,4,0,5,7,6,6,4,4,5,1,3
553,5,2,1,3,4,11,5,4,1,3,2,1,0,0,0,2,22,8,8,11,16,7,9,15,7,7,7,6,7,7,4,15,3,5,1,2,2,2,5,0,1,1,2,7,4,0,1,0,21,16,51,15,14,16,62,27,17,20,48,16,10,17,31,13,5,2,3,3,2,3,3,7,3,6,2,2,8,6,1,6,5,8,4,3,1,5,3,5,5,5,14,3,2,7,3,5
554,9,6,0,3,2,2,0,3,5,1,3,0,2,1,0,3,15,10,8,10,9,6,11,20,6,4,6,4,6,3,3,18,3,2,0,0,2,8,4,0,0,3,1,1,4,1,0,1,21,17,40,18,20,18,56,24,12,16,30,10,12,12,40,7,5,1,3,7,9,3,2,7,2,4,1,2,10,2,4,7,3,8,1,6,5,7,1,8,4,10,5,2,4,2,4,5
