"BIN","AT_CG_AAA(TTT)","AT_CG_AAC(TTG)","AT_CG_AAG(TTC)","AT_CG_AAT(TTA)","AT_CG_ATA(TAT)","AT_CG_ATC(TAG)","AT_CG_ATG(TAC)","AT_CG_ATT(TAA)","AT_CG_CAA(GTT)","AT_CG_CAC(GTG)","AT_CG_CAG(GTC)","AT_CG_CAT(GTA)","AT_CG_CTA(GAT)","AT_CG_CTC(GAG)","AT_CG_CTG(GAC)","AT_CG_CTT(GAA)","AT_GC_AAA(TTT)","AT_GC_AAC(TTG)","AT_GC_AAG(TTC)","AT_GC_AAT(TTA)","AT_GC_ATA(TAT)","AT_GC_ATC(TAG)","AT_GC_ATG(TAC)","AT_GC_ATT(TAA)","AT_GC_CAA(GTT)","AT_GC_CAC(GTG)","AT_GC_CAG(GTC)","AT_GC_CAT(GTA)","AT_GC_CTA(GAT)","AT_GC_CTC(GAG)","AT_GC_CTG(GAC)","AT_GC_CTT(GAA)","AT_TA_AAA(TTT)","AT_TA_AAC(TTG)","AT_TA_AAG(TTC)","AT_TA_AAT(TTA)","AT_TA_ATA(TAT)","AT_TA_ATC(TAG)","AT_TA_ATG(TAC)","AT_TA_ATT(TAA)","AT_TA_CAA(GTT)","AT_TA_CAC(GTG)","AT_TA_CAG(GTC)","AT_TA_CAT(GTA)","AT_TA_CTA(GAT)","AT_TA_CTC(GAG)","AT_TA_CTG(GAC)","AT_TA_CTT(GAA)","GC_AT_ACA(TGT)","GC_AT_ACC(TGG)","GC_AT_ACG(TGC)","GC_AT_ACT(TGA)","GC_AT_AGA(TCT)","GC_AT_AGC(TCG)","GC_AT_AGG(TCC)","GC_AT_AGT(TCA)","GC_AT_CCA(GGT)","GC_AT_CCC(GGG)","GC_AT_CCG(GGC)","GC_AT_CCT(GGA)","GC_AT_CGA(GCT)","GC_AT_CGC(GCG)","GC_AT_CGG(GCC)","GC_AT_CGT(GCA)","GC_CG_ACA(TGT)","GC_CG_ACC(TGG)","GC_CG_ACG(TGC)","GC_CG_ACT(TGA)","GC_CG_AGA(TCT)","GC_CG_AGC(TCG)","GC_CG_AGG(TCC)","GC_CG_AGT(TCA)","GC_CG_CCA(GGT)","GC_CG_CCC(GGG)","GC_CG_CCG(GGC)","GC_CG_CCT(GGA)","GC_CG_CGA(GCT)","GC_CG_CGC(GCG)","GC_CG_CGG(GCC)","GC_CG_CGT(GCA)","GC_TA_ACA(TGT)","GC_TA_ACC(TGG)","GC_TA_ACG(TGC)","GC_TA_ACT(TGA)","GC_TA_AGA(TCT)","GC_TA_AGC(TCG)","GC_TA_AGG(TCC)","GC_TA_AGT(TCA)","GC_TA_CCA(GGT)","GC_TA_CCC(GGG)","GC_TA_CCG(GGC)","GC_TA_CCT(GGA)","GC_TA_CGA(GCT)","GC_TA_CGC(GCG)","GC_TA_CGG(GCC)","GC_TA_CGT(GCA)"
486,4e-04,9e-04,0,0,0,0,0.0025,0,0,0.0019,7e-04,0.0012,0.0012,0,7e-04,0.0011,0.0011,9e-04,0,0.0011,0.0063,0.0011,0.0025,0.0033,0.0046,0.0032,0.0014,0.0012,0,5e-04,0.0013,0,0,9e-04,0.0011,0.0011,0,0,0.0012,0,0,0.0019,7e-04,0,0,5e-04,0,0.0022,0.0055,0.0031,0.0097,0.0032,0.0021,0.0085,0.0019,0.0039,0.0032,0.004,0.0156,0.0018,0.0064,0.0299,0.0105,0.0111,0,0.0013,0.0024,8e-04,0.0036,0.0021,6e-04,0,6e-04,0.0013,0,0.0024,0.0021,0,0.0016,0,8e-04,0.0019,0.0012,8e-04,7e-04,0,0,8e-04,6e-04,0,8e-04,0.0012,0.0021,0.0053,0.0032,0.0012
487,9e-04,0,0,0.0037,0.0021,0,0,0,0.0011,0.0013,0,0.0014,0,5e-04,7e-04,0.0013,4e-04,0.0023,0,0.0073,0.0041,0.0053,0.0042,0.0049,0.0022,0.002,0.0015,0,0.0026,0.0026,7e-04,0.004,9e-04,0,0,0.0012,0.0021,0,0,0.0012,0,0,7e-04,0,0.0013,0.001,7e-04,0.0013,0.003,0.0033,0.0157,0.0017,0.0072,0.0076,0.0073,0.0051,0.0033,0.0042,0.0142,0.002,0.0118,0.0421,0.0111,0.0127,0.002,7e-04,0,0,0.0024,0.0011,7e-04,8e-04,0,0.0021,0.0018,0.0013,0.0024,0.002,9e-04,0,0,7e-04,0.0039,9e-04,0.004,0.0033,7e-04,0.0017,0.002,0.0021,9e-04,0,0.0012,0.002,0.0017,0.0013
488,0.0013,0.0012,0,0,0,0,0.0016,0.0025,0,0.0015,0.0017,0,0,0.0013,9e-04,0,0.0026,0.0035,0.0042,0.0026,0.0051,0.0014,0.0016,0.0012,0.0022,0.0023,9e-04,0.0031,0.0029,0.0013,0.0026,0,4e-04,0.0012,0,0.0013,0,0.0014,0,0.0012,0,0,0,0.0015,0.0014,0,0,0.003,0.001,0.0023,0.0097,0.0047,0.0027,0.0147,0.0039,0.0029,0.006,0.0036,0.0116,0.0025,0.0093,0.0483,0.014,0.0108,0.0031,0.0015,0.0016,0.0019,0.0018,0.0013,8e-04,0,0.0015,9e-04,0.0019,0.0016,0.0013,0,0.003,0,0,0.0015,0,0,9e-04,0.004,8e-04,0.0019,7e-04,0.0036,0.0019,0,0.0027,0.0018,0.002,0.0015
489,0.002,0.0022,0.0024,0.0031,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0.0045,0.0049,0,0.0039,0,0.006,0.0027,0,0.0027,0,0,0.0029,0.002,0.0045,0,0,0,0,0.0062,0.0039,0,0.003,0,0.0022,0,0.0015,0,0,0,0.0015,0,0,0.0041,0.0285,0.0096,0.0035,0.0095,0.0026,0.0049,0.0042,0.0011,0.012,0.0078,0.0146,0.0218,0.0108,0.0131,0.0019,0.0014,0.0024,0.0019,0.0035,0.0024,0,0.0033,0,0.0011,0.0045,0,0.0021,0,0,0.0026,0.0019,0.0028,0,0,0.0035,0,0.0013,0.0016,0.0028,0.0011,0,0.0013,0,0.0049,0.0031,0
490,0,0,0.0022,0,0.0053,0,0.0021,0,0,0,0,0.0027,0,0,0,0,0,0,0,0,0.0053,0.0139,0.0043,0.0022,0.0042,0.003,0.0018,0.0027,0.009,0.0013,0.0055,0,0,0,0,0,0,0,0,0,0,0,0,0.0027,0.0022,0.0013,0,0,0.011,0.0043,0.0123,0.004,0.0016,0.0122,0.0046,0.0019,0.0032,0.0032,0.0255,0.0069,0.017,0.0526,0.0152,0.0301,0,0,0,0.002,0.0047,0,0,0,0,0.0016,0,0.0014,0.0028,0,0,0,0,0.0014,0.0031,0,0.0016,0,0,0.0019,0,0,0,0,0,0.015,0,0
491,0,0,0.0023,0,0.0018,0,0,0.0013,0,7e-04,0,0.003,0,6e-04,8e-04,0,0.0014,0.0022,0.0023,0.0024,0.0092,0.0015,0.0052,0.0026,0.0022,0.0022,0.0041,0.003,0.0027,0.0026,0.0025,0.0011,0.001,0,0.0012,0,0,0,0.0013,0,0,0,0.0033,0,0,6e-04,0,0,0.0045,0.0087,0.0093,0.0037,0.0025,0.0138,0.0059,0.0028,0.0086,0.0061,0.0111,0.0078,0.0097,0.0406,0.0165,0.0141,9e-04,7e-04,0.0015,0.0019,8e-04,0.0028,7e-04,0,0,9e-04,0.0011,7e-04,0.0041,0,0,0,0.0027,7e-04,0,9e-04,0.0017,0,7e-04,0,8e-04,9e-04,0.0011,7e-04,0,0.0031,0.0024,0
492,7e-04,0.0018,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023,0.0013,0.0018,0,0.002,0.0144,0.0024,0.0083,0,0.0035,0.008,0.0028,0.0052,0,0.0031,0,0.0023,0,0,0.0022,0,0.0036,0,0,0,0,0,0,0,0.0025,0.001,0,0.0023,0,0.0067,0.0128,0.0047,0.0015,0.0113,0.0063,0.0045,0,0,0.0108,0.0013,0.0066,0.0463,0.0126,0.0158,0.0017,0.0013,0.0026,0.0016,0,0,0,0,0.0026,0,0,0.0053,0.0022,0,0,0.0026,0,0.0013,0.0026,0,0.0015,0,0,0,0.0026,0.0034,0.0036,0,0,0,0.0036,0
493,4e-04,0.0021,0.0011,0,0.0021,0,0.0014,0.0024,0.003,6e-04,7e-04,0,0.0026,0,0,0.0012,8e-04,0.0031,0,0,0,0.0013,0.0014,0,0.002,0.0012,0.0058,0.0055,0.0038,0.0021,7e-04,0,4e-04,0,0.0011,0.0036,0.0021,0.0026,0.0014,0.0012,0,0.0012,7e-04,0,0,0,0,0.0012,0.0026,0.0012,0.014,0.0057,8e-04,0.0116,0.0057,0.0057,0.0032,0.0035,0.024,0.0024,0.0084,0.0424,0.0174,0.0154,0,0,0.0038,8e-04,0.0038,0,0.0013,0.0041,0,0.0035,9e-04,0.0012,0.0012,0,9e-04,0,0.0017,0.0036,0.0025,0,8e-04,0,0,0,0.0019,0,0.0018,0.0012,0,0.0022,0.0026,0
494,7e-04,0.0018,0.001,0.001,0,0.0023,0,0.001,0,0.0012,0,0.0025,0,5e-04,0.0013,0,0.0017,0.0046,0.003,0.004,0.0047,0.0023,0.0013,0.0049,0.0045,0.0018,0.002,0.0037,0.007,0,0.002,0.0062,0.0014,0,0,0.002,0.0024,0.0023,0.0013,0.0039,9e-04,6e-04,0.0013,0,0.0012,9e-04,0.0013,0,0.0068,0.0036,0.0106,0.0075,0.0027,0.0154,0.0035,0.005,0.0049,0.0037,0.0123,0.0041,0.0092,0.0539,0.0126,0.0126,8e-04,6e-04,0.0012,7e-04,0.0027,0.001,6e-04,7e-04,0.0024,0.0029,0.0033,0.0017,0.001,0.0039,0.0034,0.0023,0,0.0024,0,7e-04,7e-04,0.0031,6e-04,0.0022,0.0024,7e-04,0.0016,0,0,0.0019,8e-04,0.0023
495,0.0014,0.0011,0,0,0,0,0,0.0028,0.0011,0,8e-04,0,0,0,8e-04,0.0014,0.0028,0.0021,0.0041,0.003,0.0024,0.003,0.0015,0.0014,0,0.003,0.0016,0.0015,0.0014,0.0012,0.0016,0.0014,5e-04,0,0,0.0015,0,0,0,0.0028,0,0,0,0.0015,0.0014,0,8e-04,0,0.0031,0.0014,0.0145,0.0047,0,0.0109,0.0046,0.0018,0.0029,0.0017,0.0127,0.0064,0.0048,0.0296,0.0164,0.0088,0,0,0,0,0.0018,0.0024,8e-04,9e-04,0.0015,0.0025,0.001,0.0014,0.0012,0.0021,9e-04,0,0.001,7e-04,0,9e-04,0,0,0,0,0,0.0034,0.001,0,0.0024,0.0042,9e-04,0.0029
496,0,0.0038,0.0021,0.0038,0,0.0022,0,0,0.0018,0.0011,0,0,0,0,0.0013,0.0023,7e-04,0.0019,0.0021,0.0058,0.0024,0.0022,0,0.0039,0.0036,0.0011,0.0014,0.0048,0,0.0045,0.0026,0,0,0,0,0.0019,0.0024,0.0045,0.0048,0.0019,0,0,0.0014,0,0.0022,9e-04,0,0,0.0016,0.006,0.0176,0.0015,0.0058,0.006,0.0047,0.0069,0.0137,0.004,0.0143,0.0034,0.0061,0.0488,0.0098,0.0088,0,0,0.0022,0,0.0014,0.002,0.0036,0,0.0012,0,0,0.0023,0,0,0.0042,0,0,0,0,0.0029,0.0043,0.002,0,0,0.0025,0.0013,0,0,0,0,0,0.0022
497,0.0023,0.0036,0,0,0,0,0,0.0038,0,0.0023,0.0014,0,0,0.002,0.0013,0,8e-04,0.0036,0.002,0,0.0058,0.0022,0.005,0.0019,0,0.0023,0.0014,0.0066,0,0,0.0013,0.0023,0,0,0,0,0,0,0.005,0.0019,0,0.0011,0,0.0022,0.0024,0.001,0,0.0023,0.0093,0.0047,0.0109,0.0016,0.0057,0.0122,0.0099,0.0066,0.0012,0.0043,0.0257,0.0048,0.0155,0.0654,0.0146,0.0243,0.0031,0,0,0,0,0.0024,0,0.004,0.0023,0.0014,0.002,0.0012,0.0044,0,0.0036,0,0.0016,0.0036,0.0022,0,0,0,0.0025,0,0.0035,0,0,0,0,0.0093,0.0055,0.0054
498,0,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0.0019,0,0,0,0.0028,0,0.0031,0.0068,0.0062,0,0.0026,0,0.0087,0.0093,0.0034,0.0015,0.0019,0.0027,0.0019,0,0.0028,0.0024,0,0,0.0031,0,0,0,0.0022,0.0031,0,0.0015,0,0.0027,0.0076,0,0.0034,0,0.0038,0.0129,0.0019,0,0.0019,0.0044,0.0149,0.0069,0.0098,0.0238,0.0112,0.0145,0.0038,0,0,0.0022,0,0,0,0.0023,0,0.0022,0,0.0017,0,0,0,0,0.0038,0.0018,0.0034,0,0.0019,0,0.0019,0,0,0,0,0.0017,0,0.0079,0,0.0109
499,0.001,0.0025,0,0,0,0,0,0.004,0.0026,0,0.0045,0,0,0,0,0,0.002,0.0025,0,0.0043,0.0034,0,0,0.002,0,0.0036,0.0023,0.0061,0.0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045,0,0,0,0,0,0.006,0.0079,0.0204,0.0044,0,0.0077,0.0059,0.0022,0.0039,0.0072,0.0221,0.0019,0.007,0.0619,0.009,0.0081,0.004,0.004,0,0.0022,0.0019,0,0.002,0,0,0.0024,0,0,0,0,0,0,0,0.004,0.0034,0,0.0019,0,0,0,0,0,0,0,0,0,0,0
500,0.0013,0,0,0,0,0,0,0,0,0.0032,0,0,0,0.0017,0,0,0,0.0029,0,0.0032,0.0043,0.0108,0.0048,0,0.0059,0.0016,0,0.0069,0.0026,0,0.0022,0.0033,0.0013,0,0,0,0,0,0,0,0.003,0,0.0023,0,0,0,0,0,0.0084,0.0016,0.0139,0,0.0042,0.0081,0.002,0.0027,0.0036,0.0021,0.0166,0.0036,0.0037,0.0748,0.0135,0.0185,0,0,0.0035,0.0022,0.0021,0,0.004,0,0,0,0,0,0.0073,0,0,0,0.0021,0.0032,0,0,0,0,0,0,0.0018,0,0.0066,0.0018,0,0,0,0
501,0,0.0036,0,0.0018,0,0.0023,0,0,0,0.0026,0,0,0,0,0.003,0,0.0023,0,0,0.0018,0,0.0023,0.0062,0.013,0.0036,0.0038,0.0014,0.0044,0.0022,0,0,0,8e-04,0,0,0,0.0039,0.0023,0,0,0.0018,0,0,0.0022,0,0.0012,0.003,0,0.0031,0.0037,0.0058,0.0014,0.0014,0.0095,0.0052,0.0015,0.0038,0.0014,0.0207,0.0027,0.0239,0.0272,0.0225,0.0093,0.0047,0.0012,0,0.0014,0.0027,0.0024,0.0013,0.0015,0,0.0027,0,0,0,0,0.0023,0,0.0016,0,0.0029,0,0,0,0,0,0.0025,0.0027,0.0021,0,0.0027,0.0054,0.0023,0.0023
502,0,0,0,0.0026,0,0,0,0.0027,0,0,0,0,0,0.0013,0,0,0.003,0.0025,0.0026,0.0026,0,0.0062,0.0113,0.0108,0,0.0086,0.0037,0,0.0031,0,0.0039,0,0,0,0,0.0026,0.0102,0.0031,0,0,0,0.0014,0,0,0,0,0,0,0.0075,0.0016,0.0065,0.006,0.0116,0.0163,0.0048,0.0084,0.0015,0.0045,0.0089,0.0032,0.0183,0.033,0.0132,0.0177,0.0019,0.0016,0,0,0,0.0027,0.0032,0,0.0062,0.0015,0,0.0032,0,0.0047,0.0022,0,0.0075,0.0016,0,0,0.0019,0,0,0,0.0015,0.003,0,0,0,0,0.0022,0
503,4e-04,0.0013,0,0.0012,0,0,0,0,0,8e-04,0,0.0016,0,0.0014,0,0,9e-04,0,0.0015,0.0012,0.0044,0.0016,0.006,0.0014,0.0062,8e-04,0.0029,0.0064,0.0051,0.0014,0.0021,0.0013,9e-04,0,0,0,0.0029,0.0049,0.003,0,0.0012,8e-04,0.001,0,0,0.0014,0.0021,0,0.0088,0.0087,0.0299,0.001,0.001,0.0072,0.0033,0.0034,0.0017,0.0041,0.0099,0.0053,0.0134,0.05,0.0101,0.0153,0.0022,9e-04,0.0056,0,0.001,0.0029,8e-04,0.0011,8e-04,0.001,0,9e-04,0,0,0.0088,0.0046,0,0.0035,0,0.0029,0.001,0.0014,8e-04,0,8e-04,0,0.0025,0,0,0.0031,0,0.0046
504,3e-04,0,0.0011,9e-04,0,0.0021,0,0,8e-04,0.0024,6e-04,0.0012,0.0011,5e-04,0.002,0.002,0.0013,0.0026,0.0032,0.0027,0.0034,0.0043,0.0067,0.0039,0.0041,0,0.0031,0.0058,0.0022,0.0038,0,0,3e-04,0,0.0021,0,0.0017,0.0011,0.0011,0.001,8e-04,6e-04,6e-04,0.0012,0.0011,0,0,0,0.0023,0.0047,0.0065,0.0049,0.0034,0.0106,0.0034,0.0023,0.0044,0.0014,0.0128,0.0049,0.0212,0.0601,0.0181,0.017,0.0023,0.0012,0,0,7e-04,0.001,0.0022,0.0015,0.0017,0.0014,0,0.0012,0.0032,0,0,0.0011,0,0,0.0013,0.0014,0,0,6e-04,0.0023,0.0022,0.0014,0,0,0.0021,0.0027,0.0023,0.0011
