Category	BIN	exp	obs	odds	rk	res
AT_CG	296	2.0392924197803	1	0.490366163430223	1	5bp
AT_CG	261	1.74204677558634	1	0.574037399003492	2	5bp
AT_CG	445	55.0936628292051	32	0.580829052865892	3	5bp
AT_CG	597	77.2465810063324	49	0.63433228191657	4	5bp
AT_CG	431	65.1029612824939	42	0.645131944424988	5	5bp
AT_CG	338	55.2339669412052	37	0.669877650457106	6	5bp
AT_CG	613	31.1210518068858	21	0.674784391295978	7	5bp
AT_CG	490	67.1403211373055	46	0.685132260626629	8	5bp
AT_CG	356	50.7144528252172	35	0.690138570963673	9	5bp
AT_CG	364	81.9695863818014	59	0.719779159616438	10	5bp
AT_CG	628	48.3667643368121	35	0.723637408454082	11	5bp
AT_CG	462	51.0887106961282	37	0.724230451225775	12	5bp
AT_CG	527	84.0849893528766	61	0.725456475281258	13	5bp
AT_CG	429	69.7575973583463	51	0.731103161968322	14	5bp
AT_CG	434	65.1657062113056	48	0.736583746124929	15	5bp
AT_CG	312	61.7830195701437	46	0.744541142858437	16	5bp
AT_CG	177	73.4976698410128	55	0.748323043696131	17	5bp
AT_CG	328	57.295501803028	43	0.750495215973962	18	5bp
AT_CG	529	79.7513567049629	60	0.752338298418768	19	5bp
AT_CG	497	69.0239086123795	52	0.753362147194802	20	5bp
AT_CG	449	71.2749912770326	54	0.757628994861775	21	5bp
AT_CG	629	64.541591907885	49	0.759200362921537	22	5bp
AT_CG	582	68.3454289530396	52	0.760840934010808	23	5bp
AT_CG	189	74.6773520138017	57	0.76328362566291	24	5bp
AT_CG	49	74.5208799699955	57	0.764886297946965	25	5bp
AT_CG	317	71.5151083596562	55	0.769068260700939	26	5bp
AT_CG	251	69.9600169961458	54	0.771869452275504	27	5bp
AT_CG	372	85.5048907073644	66	0.771885671731705	28	5bp
AT_CG	31	51.26880612311	40	0.780201510913856	29	5bp
AT_CG	468	72.8307673118389	57	0.782636269036458	30	5bp
AT_CG	621	52.2032937346307	41	0.785391056135627	31	5bp
AT_CG	453	81.3424051574507	64	0.786797487437434	32	5bp
AT_CG	175	78.7946806519903	62	0.786855146654293	33	5bp
AT_CG	381	86.1777952353568	68	0.789066369292552	34	5bp
AT_CG	604	64.5569018673275	51	0.790000736169332	35	5bp
AT_CG	451	79.7127629083987	63	0.790337678702668	36	5bp
AT_CG	354	53.0383726231408	42	0.791879500120169	37	5bp
AT_CG	13	73.1682678217588	58	0.792693359111501	38	5bp
AT_CG	325	68.082494623185	54	0.793155425618183	39	5bp
AT_CG	32	51.6818822905495	41	0.793314759116218	40	5bp
AT_CG	488	57.8177274936779	46	0.795603735982704	41	5bp
AT_CG	601	76.5767893125307	61	0.796586022313399	42	5bp
AT_CG	181	60.2089286507468	48	0.797223951258675	43	5bp
AT_CG	460	62.5486754900667	50	0.79937743858286	44	5bp
AT_CG	65	89.9893475192465	72	0.800094699926577	45	5bp
AT_CG	579	85.2854996715758	69	0.809047262028254	46	5bp
AT_CG	569	81.4007311571205	66	0.810803527951194	47	5bp
AT_CG	454	75.0976332568797	61	0.812275931404427	48	5bp
AT_CG	473	65.2374805450978	53	0.812416413956419	49	5bp
AT_CG	410	85.777111930549	70	0.816068510871254	50	5bp
AT_CG	498	78.255511542474	64	0.81783376964143	51	5bp
AT_CG	599	67.2452059935788	55	0.817902171423966	52	5bp
AT_CG	438	82.8879052030972	68	0.820385071059307	53	5bp
AT_CG	187	80.2285424710022	66	0.822649869575469	54	5bp
AT_CG	332	64.2063619740051	53	0.825463371082414	55	5bp
AT_CG	207	87.1468811796609	72	0.826191356768875	56	5bp
AT_CG	350	33.8409611380735	28	0.827399667691412	57	5bp
AT_CG	520	80.8450851922245	67	0.82874549319473	58	5bp
AT_CG	28	66.2197142578722	55	0.830568367991132	59	5bp
AT_CG	211	80.6061343001239	67	0.831202247592427	60	5bp
AT_CG	23	64.9196602178715	54	0.831797329480393	61	5bp
AT_CG	346	63.6313411592364	53	0.832922880996149	62	5bp
AT_CG	351	58.7768773136792	49	0.833661164721254	63	5bp
AT_CG	466	55.0962067289156	46	0.834903212599177	64	5bp
AT_CG	584	77.8006533289185	65	0.835468562522206	65	5bp
AT_CG	61	72.9930643041792	61	0.835695837426398	66	5bp
AT_CG	390	88.5352251611225	74	0.835825513125761	67	5bp
AT_CG	54	82.5524494487058	69	0.835832255260619	68	5bp
AT_CG	239	56.1249567742325	47	0.837417126022236	69	5bp
AT_CG	471	70.4360285610738	59	0.837639503607762	70	5bp
AT_CG	577	83.3041645475749	70	0.840294124311434	71	5bp
AT_CG	134	80.8236946896564	68	0.841337435279391	72	5bp
AT_CG	29	62.9894802760302	53	0.841410339754278	73	5bp
AT_CG	310	65.3604067086175	55	0.841488031817104	74	5bp
AT_CG	62	78.3115141147598	66	0.842787944353646	75	5bp
AT_CG	379	85.4015927781421	72	0.843075610861766	76	5bp
AT_CG	45	79.3153339876089	67	0.844729469467621	77	5bp
AT_CG	442	76.9055383175715	65	0.845192705518696	78	5bp
AT_CG	411	87.4229263597848	74	0.846459882793863	79	5bp
AT_CG	9	68.4037395635514	58	0.847906859625918	80	5bp
AT_CG	441	72.9557090799177	62	0.849830681956411	81	5bp
AT_CG	513	87.0563337479534	74	0.850024309710144	82	5bp
AT_CG	150	84.6347958164898	72	0.85071393279089	83	5bp
AT_CG	142	85.8024686860651	73	0.850791371365935	84	5bp
AT_CG	427	73.8650427589229	63	0.852906837211431	85	5bp
AT_CG	437	84.1390762025979	72	0.855726057968971	86	5bp
AT_CG	96	89.6340756118095	77	0.859048296916391	87	5bp
